DATE,WPU0652013A
2014-12-01,100.0
2015-01-01,101.8
2015-02-01,102.1
2015-03-01,100.1
2015-04-01,101.5
2015-05-01,102.9
2015-06-01,102.4
2015-07-01,96.5
2015-08-01,94.0
2015-09-01,95.0
2015-10-01,91.5
2015-11-01,89.9
2015-12-01,92.7
2016-01-01,90.6
2016-02-01,84.7
2016-03-01,83.8
2016-04-01,85.7
2016-05-01,83.9
2016-06-01,82.4
2016-07-01,76.3
2016-08-01,70.4
2016-09-01,68.3
2016-10-01,68.0
2016-11-01,68.8
2016-12-01,68.8
2017-01-01,69.5
2017-02-01,74.8
2017-03-01,77.9
2017-04-01,80.3
2017-05-01,79.4
2017-06-01,78.9
2017-07-01,74.9
2017-08-01,68.8
2017-09-01,67.0
2017-10-01,68.5
2017-11-01,72.4
2017-12-01,75.8
2018-01-01,76.4
2018-02-01,81.1
2018-03-01,81.0
2018-04-01,81.1
2018-05-01,80.4
2018-06-01,79.2
2018-07-01,77.0
2018-08-01,77.3
2018-09-01,78.3
2018-10-01,81.7
2018-11-01,84.2
2018-12-01,85.0
2019-01-01,85.1
2019-02-01,88.4
2019-03-01,87.4
2019-04-01,86.7
2019-05-01,86.3
2019-06-01,84.1
2019-07-01,82.3
2019-08-01,78.8
2019-09-01,77.8
2019-10-01,78.4
2019-11-01,77.1
2019-12-01,71.9
2020-01-01,73.0
2020-02-01,72.7
2020-03-01,73.4
2020-04-01,77.1
2020-05-01,76.9
2020-06-01,74.3
2020-07-01,73.0
2020-08-01,72.0
2020-09-01,72.9
2020-10-01,74.6
2020-11-01,74.4
2020-12-01,76.2
2021-01-01,80.8
2021-02-01,86.1
2021-03-01,88.7
2021-04-01,94.2
2021-05-01,98.1
2021-06-01,110.3
2021-07-01,113.396
2021-08-01,111.218
2021-09-01,114.009
2021-10-01,132.574
2021-11-01,149.037
2021-12-01,171.958
2022-01-01,179.139
2022-02-01,189.761
2022-03-01,201.388
2022-04-01,218.633
2022-05-01,216.727
2022-06-01,204.198
2022-07-01,180.314
2022-08-01,177.149
2022-09-01,174.947
2022-10-01,184.622
2022-11-01,190.105
2022-12-01,183.565
2023-01-01,169.085
2023-02-01,150.075
2023-03-01,135.331
2023-04-01,125.413
2023-05-01,115.429
2023-06-01,98.867
2023-07-01,98.024
2023-08-01,96.497
2023-09-01,95.755
2023-10-01,104.156
2023-11-01,107.127
2023-12-01,114.088
2024-01-01,109.887
2024-02-01,103.497
